Date,Open,High,Low,Close,Adj Close,Volume
2009-08-14,51.400002,51.570000,50.230000,51.290001,30.560907,1588700
2009-08-17,50.020000,50.189999,49.340000,49.820000,29.685013,1968700
2009-08-18,50.080002,50.080002,49.560001,49.700001,29.613499,1782300
2009-08-19,49.400002,50.500000,49.180000,50.189999,29.905481,2206800
2009-08-20,50.480000,50.750000,50.220001,50.400002,30.030602,1316100
2009-08-21,50.650002,50.860001,50.290001,50.860001,30.304684,1773500
2009-08-24,51.000000,51.299999,49.009998,49.009998,29.202374,3723100
2009-08-25,51.400002,52.680000,50.599998,52.299999,31.162693,5868300
2009-08-26,52.000000,53.849998,51.610001,53.650002,31.967093,3725600
2009-08-27,54.000000,54.240002,53.090000,54.119999,32.247139,4035500
2009-08-28,53.759998,54.080002,52.150002,52.450001,31.252083,4991700
2009-08-31,52.029999,53.000000,51.750000,53.000000,31.579786,2704300
2009-09-01,52.500000,52.980000,51.000000,51.040001,30.411936,2377500
2009-09-02,50.700001,51.029999,50.220001,50.500000,30.090178,2095900
2009-09-03,50.750000,51.480000,50.599998,51.209999,30.513233,1674000
2009-09-04,51.250000,51.980000,51.200001,51.950001,30.954149,1392200
2009-09-08,52.490002,52.680000,51.570000,51.880001,30.912464,1435200
2009-09-09,51.700001,51.930000,51.130001,51.360001,30.602610,2103400
2009-09-10,51.320000,51.900002,51.250000,51.759998,30.840937,1201000
2009-09-11,51.549999,51.950001,51.299999,51.830002,30.882654,1320200
2009-09-14,51.500000,52.320000,51.400002,52.160000,31.079288,1464400
2009-09-15,52.439999,52.910000,51.970001,52.849998,31.490423,2240200
2009-09-16,53.000000,53.200001,52.700001,53.150002,31.669176,1592400
2009-09-17,53.150002,54.000000,52.970001,53.750000,32.026680,1875200
2009-09-18,53.720001,54.169998,53.540001,53.540001,31.901552,2729000
2009-09-21,53.180000,53.540001,52.849998,52.880001,31.508299,1217300
2009-09-22,53.500000,54.090000,53.240002,53.860001,32.092220,1297400
2009-09-23,54.099998,54.660000,53.910000,54.119999,32.247139,2250400
